,Customer ID,R Rank,F Rank,M Rank,R,F,M,RFM_SCORE,Segment
879,3270,4.0,8.0,116.0,4,2,2,8,Loyal Customer
880,8443,84.0,7.0,81.0,1,1,2,4,New Customer
881,9653,84.0,6.0,63.0,1,1,1,3,Potential Lost Customer
882,8916,22.0,4.0,11.0,4,1,1,6,Potential Loyalists Customer
883,8017,17.0,6.0,50.0,4,1,1,6,Potential Loyalists Customer
885,4597,33.0,19.0,1008.0,3,3,4,10,Loyal Customer
886,7023,13.0,12.0,214.0,4,2,2,8,Loyal Customer
887,8086,66.0,6.0,50.0,2,1,1,4,New Customer
888,8825,54.0,17.0,397.0,2,3,3,8,Loyal Customer
889,2930,93.0,19.0,771.0,1,3,4,8,Loyal Customer
890,1928,27.0,6.0,78.0,3,1,2,6,Potential Loyalists Customer
891,7108,46.0,13.0,275.0,3,2,2,7,Potential Loyalists Customer
892,10925,7.0,25.0,619.0,4,4,3,11,Loyal Customer
893,9960,48.0,4.0,9.0,3,1,1,5,New Customer
895,9224,19.0,24.0,698.0,4,4,4,12,Loyal Customer
896,5519,92.0,20.0,510.0,1,4,3,8,Loyal Customer
897,5046,3.0,24.0,909.0,4,4,4,12,Loyal Customer
898,7037,50.0,15.0,304.0,3,3,3,9,Loyal Customer
899,905,62.0,8.0,79.0,2,2,2,6,Potential Loyalists Customer
900,8624,39.0,18.0,578.0,3,3,3,9,Loyal Customer
901,8945,54.0,10.0,177.0,2,2,2,6,Potential Loyalists Customer
902,6445,27.0,16.0,540.0,3,3,3,9,Loyal Customer
903,2727,81.0,13.0,309.0,1,2,3,6,Potential Loyalists Customer
904,6404,90.0,12.0,230.0,1,2,2,5,New Customer
905,11074,6.0,18.0,827.0,4,3,4,11,Loyal Customer
906,10150,90.0,19.0,838.0,1,3,4,8,Loyal Customer
907,1968,63.0,4.0,23.0,2,1,1,4,New Customer
908,6534,6.0,6.0,62.0,4,1,1,6,Potential Loyalists Customer
909,9485,77.0,10.0,175.0,1,2,2,5,New Customer
910,7053,25.0,22.0,839.0,4,4,4,12,Loyal Customer
911,4654,60.0,19.0,760.0,2,3,4,9,Loyal Customer
912,9760,76.0,26.0,736.0,2,4,4,10,Loyal Customer
913,1048,89.0,9.0,159.0,1,2,2,5,New Customer
914,10619,71.0,18.0,1002.0,2,3,4,9,Loyal Customer
915,9308,49.0,14.0,606.0,3,3,3,9,Loyal Customer
916,10505,14.0,15.0,618.0,4,3,3,10,Loyal Customer
918,2625,70.0,13.0,273.0,2,2,2,6,Potential Loyalists Customer
919,4637,27.0,25.0,912.0,3,4,4,11,Loyal Customer
920,9972,75.0,5.0,41.0,2,1,1,4,New Customer
921,4483,33.0,19.0,747.0,3,3,4,10,Loyal Customer
922,4487,33.0,7.0,90.0,3,1,2,6,Potential Loyalists Customer
923,4988,42.0,7.0,57.0,3,1,1,5,New Customer
924,8931,18.0,26.0,951.0,4,4,4,12,Loyal Customer
925,5871,2.0,14.0,347.0,4,3,3,10,Loyal Customer
926,2008,7.0,19.0,704.0,4,3,4,11,Loyal Customer
927,3139,47.0,19.0,1012.0,3,3,4,10,Loyal Customer
929,10673,94.0,21.0,826.0,1,4,4,9,Loyal Customer
930,5303,58.0,20.0,684.0,2,4,4,10,Loyal Customer
931,538,22.0,7.0,113.0,4,1,2,7,Potential Loyalists Customer
932,7922,71.0,24.0,598.0,2,4,3,9,Loyal Customer
933,5692,18.0,5.0,27.0,4,1,1,6,Potential Loyalists Customer
935,6383,22.0,7.0,41.0,4,1,1,6,Potential Loyalists Customer
936,1628,46.0,17.0,593.0,3,3,3,9,Loyal Customer
937,1204,55.0,28.0,972.0,2,4,4,10,Loyal Customer
938,3673,41.0,24.0,503.0,3,4,3,10,Loyal Customer
939,760,92.0,22.0,517.0,1,4,3,8,Loyal Customer
940,8957,49.0,15.0,687.0,3,3,4,10,Loyal Customer
941,4128,49.0,19.0,471.0,3,3,3,9,Loyal Customer
942,6810,24.0,12.0,727.0,4,2,4,10,Loyal Customer
943,5386,38.0,19.0,1040.0,3,3,4,10,Loyal Customer
944,8700,14.0,7.0,61.0,4,1,1,6,Potential Loyalists Customer
945,3202,40.0,19.0,759.0,3,3,4,10,Loyal Customer
946,1328,44.0,18.0,452.0,3,3,3,9,Loyal Customer
947,8405,17.0,12.0,246.0,4,2,2,8,Loyal Customer
948,6515,8.0,6.0,45.0,4,1,1,6,Potential Loyalists Customer
949,2882,69.0,15.0,616.0,2,3,3,8,Loyal Customer
950,7574,20.0,6.0,36.0,4,1,1,6,Potential Loyalists Customer
951,6387,61.0,7.0,72.0,2,1,2,5,New Customer
952,5320,80.0,9.0,152.0,1,2,2,5,New Customer
953,5048,47.0,7.0,119.0,3,1,2,6,Potential Loyalists Customer
954,8146,16.0,5.0,49.0,4,1,1,6,Potential Loyalists Customer
955,10031,50.0,8.0,48.0,3,2,1,6,Potential Loyalists Customer
956,5748,4.0,14.0,351.0,4,3,3,10,Loyal Customer
957,2134,6.0,19.0,461.0,4,3,3,10,Loyal Customer
958,1523,75.0,7.0,91.0,2,1,2,5,New Customer
959,9665,52.0,13.0,280.0,2,2,2,6,Potential Loyalists Customer
960,4640,35.0,25.0,662.0,3,4,4,11,Loyal Customer
961,3635,31.0,18.0,405.0,3,3,3,9,Loyal Customer
962,3547,88.0,6.0,59.0,1,1,1,3,Potential Lost Customer
963,2456,16.0,9.0,135.0,4,2,2,8,Loyal Customer
964,5633,53.0,11.0,194.0,2,2,2,6,Potential Loyalists Customer
965,7801,13.0,19.0,474.0,4,3,3,10,Loyal Customer
966,10489,65.0,23.0,954.0,2,4,4,10,Loyal Customer
967,7011,53.0,8.0,88.0,2,2,2,6,Potential Loyalists Customer
968,2620,52.0,4.0,18.0,2,1,1,4,New Customer
969,3933,54.0,19.0,444.0,2,3,3,8,Loyal Customer
970,10981,73.0,18.0,736.0,2,3,4,9,Loyal Customer
971,1734,63.0,8.0,76.0,2,2,2,6,Potential Loyalists Customer
972,10995,92.0,8.0,87.0,1,2,2,5,New Customer
973,6357,71.0,16.0,359.0,2,3,3,8,Loyal Customer
974,9209,15.0,24.0,880.0,4,4,4,12,Loyal Customer
975,10286,98.0,24.0,577.0,1,4,3,8,Loyal Customer
976,2611,34.0,19.0,987.0,3,3,4,10,Loyal Customer
978,3308,46.0,7.0,89.0,3,1,2,6,Potential Loyalists Customer
979,5407,30.0,24.0,666.0,3,4,4,11,Loyal Customer
980,2166,45.0,4.0,18.0,3,1,1,5,New Customer
981,3955,80.0,1.0,2.0,1,1,1,3,Potential Lost Customer
982,6634,22.0,6.0,49.0,4,1,1,6,Potential Loyalists Customer
984,5718,83.0,23.0,825.0,1,4,4,9,Loyal Customer
985,6872,57.0,15.0,306.0,2,3,3,8,Loyal Customer
986,8164,87.0,19.0,986.0,1,3,4,8,Loyal Customer
987,4580,54.0,26.0,1045.0,2,4,4,10,Loyal Customer
988,9305,35.0,27.0,785.0,3,4,4,11,Loyal Customer
989,453,99.0,6.0,40.0,1,1,1,3,Potential Lost Customer
990,8545,94.0,17.0,957.0,1,3,4,8,Loyal Customer
991,9850,68.0,4.0,14.0,2,1,1,4,New Customer
992,7378,66.0,18.0,400.0,2,3,3,8,Loyal Customer
993,7646,30.0,21.0,515.0,3,4,3,10,Loyal Customer
994,1640,51.0,7.0,101.0,3,1,2,6,Potential Loyalists Customer
996,8492,75.0,23.0,855.0,2,4,4,10,Loyal Customer
998,1212,93.0,23.0,582.0,1,4,3,8,Loyal Customer
999,9097,66.0,13.0,270.0,2,2,2,6,Potential Loyalists Customer
1000,10473,62.0,20.0,380.0,2,4,3,9,Loyal Customer
1001,7962,99.0,12.0,984.0,1,2,4,7,Potential Loyalists Customer
1002,9984,75.0,18.0,470.0,2,3,3,8,Loyal Customer
1003,5527,75.0,6.0,53.0,2,1,1,4,New Customer
1004,6374,50.0,12.0,240.0,3,2,2,7,Potential Loyalists Customer
1005,7453,54.0,16.0,357.0,2,3,3,8,Loyal Customer
1006,8952,4.0,22.0,541.0,4,4,3,11,Loyal Customer
1008,8975,53.0,7.0,64.0,2,1,1,4,New Customer
1009,6119,48.0,4.0,12.0,3,1,1,5,New Customer
1010,5236,70.0,21.0,1031.0,2,4,4,10,Loyal Customer
1011,5723,37.0,8.0,106.0,3,2,2,7,Potential Loyalists Customer
1012,1710,49.0,12.0,229.0,3,2,2,7,Potential Loyalists Customer
1013,1970,86.0,7.0,98.0,1,1,2,4,New Customer
1014,5313,80.0,7.0,39.0,1,1,1,3,Potential Lost Customer
1015,10634,44.0,15.0,307.0,3,3,3,9,Loyal Customer
1016,7010,59.0,20.0,799.0,2,4,4,10,Loyal Customer
1017,8562,28.0,11.0,198.0,3,2,2,7,Potential Loyalists Customer
1018,3158,99.0,5.0,34.0,1,1,1,3,Potential Lost Customer
1019,4436,73.0,8.0,124.0,2,2,2,6,Potential Loyalists Customer
1020,5287,23.0,8.0,74.0,4,2,2,8,Loyal Customer
1021,2445,13.0,6.0,58.0,4,1,1,6,Potential Loyalists Customer
1022,6059,19.0,19.0,784.0,4,3,4,11,Loyal Customer
1023,4550,49.0,6.0,66.0,3,1,2,6,Potential Loyalists Customer
1024,4240,21.0,6.0,53.0,4,1,1,6,Potential Loyalists Customer
1025,8911,89.0,19.0,462.0,1,3,3,7,Potential Loyalists Customer
1026,3706,46.0,7.0,89.0,3,1,2,6,Potential Loyalists Customer
1027,3628,7.0,6.0,75.0,4,1,2,7,Potential Loyalists Customer
1028,10175,100.0,5.0,17.0,1,1,1,3,Potential Lost Customer
1029,8985,46.0,28.0,740.0,3,4,4,11,Loyal Customer
1030,5204,79.0,22.0,843.0,1,4,4,9,Loyal Customer
1031,9220,42.0,20.0,1001.0,3,4,4,11,Loyal Customer
1032,9888,97.0,16.0,670.0,1,3,4,8,Loyal Customer
1033,5263,1.0,5.0,50.0,4,1,1,6,Potential Loyalists Customer
1035,9503,35.0,12.0,252.0,3,2,2,7,Potential Loyalists Customer
1036,10613,56.0,8.0,57.0,2,2,1,5,New Customer
1037,67,94.0,7.0,87.0,1,1,2,4,New Customer
1038,6019,91.0,6.0,67.0,1,1,2,4,New Customer
1039,5863,5.0,18.0,440.0,4,3,3,10,Loyal Customer
1040,3717,30.0,17.0,463.0,3,3,3,9,Loyal Customer
1041,6730,8.0,6.0,49.0,4,1,1,6,Potential Loyalists Customer
1042,10749,38.0,2.0,159.0,3,1,2,6,Potential Loyalists Customer
1043,4998,15.0,14.0,636.0,4,3,3,10,Loyal Customer
1044,6287,98.0,5.0,31.0,1,1,1,3,Potential Lost Customer
1045,5985,100.0,8.0,111.0,1,2,2,5,New Customer
1046,4754,9.0,7.0,111.0,4,1,2,7,Potential Loyalists Customer
1047,4002,97.0,27.0,689.0,1,4,4,9,Loyal Customer
1048,8870,32.0,13.0,365.0,3,2,3,8,Loyal Customer
1049,966,2.0,20.0,458.0,4,4,3,11,Loyal Customer
1051,9725,84.0,4.0,7.0,1,1,1,3,Potential Lost Customer
1052,4475,18.0,25.0,1044.0,4,4,4,12,Loyal Customer
1053,5740,99.0,6.0,51.0,1,1,1,3,Potential Lost Customer
1054,5731,36.0,5.0,32.0,3,1,1,5,New Customer
1055,7290,32.0,21.0,600.0,3,4,3,10,Loyal Customer
1056,3846,2.0,12.0,221.0,4,2,2,8,Loyal Customer
1057,8104,68.0,12.0,228.0,2,2,2,6,Potential Loyalists Customer
1058,4507,13.0,22.0,759.0,4,4,4,12,Loyal Customer
1059,11013,16.0,17.0,584.0,4,3,3,10,Loyal Customer
1060,4491,97.0,18.0,722.0,1,3,4,8,Loyal Customer
1061,3759,66.0,25.0,708.0,2,4,4,10,Loyal Customer
1062,1162,77.0,19.0,438.0,1,3,3,7,Potential Loyalists Customer
1063,2055,63.0,5.0,44.0,2,1,1,4,New Customer
1064,10766,78.0,17.0,370.0,1,3,3,7,Potential Loyalists Customer
1065,4415,81.0,6.0,33.0,1,1,1,3,Potential Lost Customer
1066,3005,93.0,23.0,912.0,1,4,4,9,Loyal Customer
1067,2223,48.0,26.0,970.0,3,4,4,11,Loyal Customer
1068,4817,9.0,4.0,13.0,4,1,1,6,Potential Loyalists Customer
1069,2875,7.0,24.0,566.0,4,4,3,11,Loyal Customer
1071,11112,77.0,20.0,848.0,1,4,4,9,Loyal Customer
1072,3807,17.0,21.0,494.0,4,4,3,11,Loyal Customer
1073,9197,8.0,6.0,42.0,4,1,1,6,Potential Loyalists Customer
1074,10832,96.0,14.0,347.0,1,3,3,7,Potential Loyalists Customer
1075,6421,68.0,21.0,1025.0,2,4,4,10,Loyal Customer
1076,4207,73.0,25.0,780.0,2,4,4,10,Loyal Customer
1077,577,90.0,5.0,17.0,1,1,1,3,Potential Lost Customer
1078,10855,91.0,14.0,300.0,1,3,2,6,Potential Loyalists Customer
1079,3081,35.0,4.0,15.0,3,1,1,5,New Customer
1080,3535,32.0,13.0,599.0,3,2,3,8,Loyal Customer
1081,247,84.0,14.0,277.0,1,3,2,6,Potential Loyalists Customer
1082,8707,88.0,16.0,823.0,1,3,4,8,Loyal Customer
1083,9523,5.0,4.0,10.0,4,1,1,6,Potential Loyalists Customer
1084,6072,84.0,20.0,1019.0,1,4,4,9,Loyal Customer
1085,6295,54.0,23.0,608.0,2,4,3,9,Loyal Customer
1086,10914,97.0,5.0,12.0,1,1,1,3,Potential Lost Customer
1087,1509,20.0,23.0,376.0,4,4,3,11,Loyal Customer
1088,5577,23.0,4.0,18.0,4,1,1,6,Potential Loyalists Customer
1089,7348,100.0,17.0,732.0,1,3,4,8,Loyal Customer
1090,1127,38.0,20.0,1000.0,3,4,4,11,Loyal Customer
1091,1833,9.0,8.0,121.0,4,2,2,8,Loyal Customer
1093,9080,98.0,7.0,68.0,1,1,2,4,New Customer
1094,6466,78.0,8.0,110.0,1,2,2,5,New Customer
1095,9964,44.0,15.0,320.0,3,3,3,9,Loyal Customer
1096,4790,46.0,13.0,545.0,3,2,3,8,Loyal Customer
1097,10245,29.0,15.0,488.0,3,3,3,9,Loyal Customer
1098,1109,62.0,4.0,7.0,2,1,1,4,New Customer
1099,6001,38.0,24.0,583.0,3,4,3,10,Loyal Customer
1100,5538,22.0,18.0,976.0,4,3,4,11,Loyal Customer
1101,10552,82.0,13.0,284.0,1,2,2,5,New Customer
1102,1545,5.0,15.0,333.0,4,3,3,10,Loyal Customer
1103,7409,34.0,12.0,218.0,3,2,2,7,Potential Loyalists Customer
1104,4444,72.0,6.0,56.0,2,1,1,4,New Customer
1105,146,22.0,21.0,788.0,4,4,4,12,Loyal Customer
1106,6271,87.0,6.0,58.0,1,1,1,3,Potential Lost Customer
1108,4741,83.0,18.0,395.0,1,3,3,7,Potential Loyalists Customer
1109,246,29.0,13.0,251.0,3,2,2,7,Potential Loyalists Customer
1110,375,21.0,16.0,709.0,4,3,4,11,Loyal Customer
1111,1524,99.0,16.0,679.0,1,3,4,8,Loyal Customer
1112,10022,22.0,4.0,11.0,4,1,1,6,Potential Loyalists Customer
1114,11010,25.0,7.0,39.0,4,1,1,6,Potential Loyalists Customer
1115,4356,30.0,12.0,885.0,3,2,4,9,Loyal Customer
1116,3885,90.0,5.0,58.0,1,1,1,3,Potential Lost Customer
1117,1175,76.0,12.0,322.0,2,2,3,7,Potential Loyalists Customer
1118,880,53.0,6.0,91.0,2,1,2,5,New Customer
1119,2320,2.0,19.0,431.0,4,3,3,10,Loyal Customer
1120,850,96.0,21.0,489.0,1,4,3,8,Loyal Customer
1121,4713,85.0,8.0,113.0,1,2,2,5,New Customer
1122,675,33.0,12.0,265.0,3,2,2,7,Potential Loyalists Customer
1123,5025,68.0,8.0,123.0,2,2,2,6,Potential Loyalists Customer
1124,2308,60.0,13.0,263.0,2,2,2,6,Potential Loyalists Customer
1125,5995,46.0,14.0,293.0,3,3,2,8,Loyal Customer
1126,6749,22.0,15.0,938.0,4,3,4,11,Loyal Customer
1127,1010,6.0,6.0,73.0,4,1,2,7,Potential Loyalists Customer
1128,8977,49.0,4.0,19.0,3,1,1,5,New Customer
1129,4756,58.0,25.0,716.0,2,4,4,10,Loyal Customer
1130,3412,33.0,14.0,592.0,3,3,3,9,Loyal Customer
1131,606,13.0,4.0,10.0,4,1,1,6,Potential Loyalists Customer
1132,5961,71.0,5.0,52.0,2,1,1,4,New Customer
1133,2975,11.0,23.0,998.0,4,4,4,12,Loyal Customer
1134,2894,26.0,21.0,1007.0,4,4,4,12,Loyal Customer
1135,7613,3.0,13.0,262.0,4,2,2,8,Loyal Customer
1136,10542,37.0,7.0,72.0,3,1,2,6,Potential Loyalists Customer
1137,8015,12.0,20.0,783.0,4,4,4,12,Loyal Customer
1139,11166,19.0,13.0,253.0,4,2,2,8,Loyal Customer
1141,523,49.0,7.0,69.0,3,1,2,6,Potential Loyalists Customer
1142,4066,24.0,6.0,41.0,4,1,1,6,Potential Loyalists Customer
1143,8414,24.0,7.0,81.0,4,1,2,7,Potential Loyalists Customer
1144,819,16.0,25.0,678.0,4,4,4,12,Loyal Customer
1145,4961,44.0,8.0,56.0,3,2,1,6,Potential Loyalists Customer
1146,749,69.0,8.0,131.0,2,2,2,6,Potential Loyalists Customer
1147,5430,100.0,20.0,453.0,1,4,3,8,Loyal Customer
1148,7755,9.0,15.0,311.0,4,3,3,10,Loyal Customer
1149,10525,60.0,4.0,22.0,2,1,1,4,New Customer
1150,1453,41.0,26.0,650.0,3,4,4,11,Loyal Customer
1151,8310,4.0,22.0,842.0,4,4,4,12,Loyal Customer
1152,10710,39.0,4.0,13.0,3,1,1,5,New Customer
1153,5031,86.0,26.0,973.0,1,4,4,9,Loyal Customer
1154,2613,84.0,11.0,199.0,1,2,2,5,New Customer
1155,213,2.0,7.0,43.0,4,1,1,6,Potential Loyalists Customer
1156,967,89.0,17.0,372.0,1,3,3,7,Potential Loyalists Customer
1157,1077,48.0,15.0,629.0,3,3,3,9,Loyal Customer
1158,7959,81.0,11.0,804.0,1,2,4,7,Potential Loyalists Customer
1159,640,39.0,24.0,632.0,3,4,3,10,Loyal Customer
1160,4252,27.0,12.0,243.0,3,2,2,7,Potential Loyalists Customer
1162,6218,26.0,17.0,366.0,4,3,3,10,Loyal Customer
1163,6905,45.0,21.0,620.0,3,4,3,10,Loyal Customer
1164,5922,52.0,11.0,186.0,2,2,2,6,Potential Loyalists Customer
1165,3598,47.0,19.0,418.0,3,3,3,9,Loyal Customer
1166,6116,87.0,6.0,70.0,1,1,2,4,New Customer
1167,6263,66.0,7.0,99.0,2,1,2,5,New Customer
1168,10486,46.0,17.0,613.0,3,3,3,9,Loyal Customer
1169,2410,31.0,16.0,674.0,3,3,4,10,Loyal Customer
1172,8278,97.0,16.0,936.0,1,3,4,8,Loyal Customer
1173,10660,39.0,15.0,330.0,3,3,3,9,Loyal Customer
1174,8686,35.0,6.0,70.0,3,1,2,6,Potential Loyalists Customer
1175,1604,7.0,11.0,192.0,4,2,2,8,Loyal Customer
1176,5907,76.0,4.0,13.0,2,1,1,4,New Customer
1177,10669,92.0,16.0,349.0,1,3,3,7,Potential Loyalists Customer
1178,2918,28.0,7.0,86.0,3,1,2,6,Potential Loyalists Customer
1179,5735,71.0,18.0,1047.0,2,3,4,9,Loyal Customer
1180,359,67.0,17.0,369.0,2,3,3,8,Loyal Customer
1181,8387,32.0,11.0,197.0,3,2,2,7,Potential Loyalists Customer
1182,1829,45.0,19.0,751.0,3,3,4,10,Loyal Customer
1183,3839,24.0,8.0,83.0,4,2,2,8,Loyal Customer
1184,9392,83.0,4.0,12.0,1,1,1,3,Potential Lost Customer
1185,2292,6.0,5.0,19.0,4,1,1,6,Potential Loyalists Customer
1186,10466,14.0,6.0,55.0,4,1,1,6,Potential Loyalists Customer
1187,9855,75.0,26.0,629.0,2,4,3,9,Loyal Customer
1188,4088,78.0,9.0,139.0,1,2,2,5,New Customer
1189,5231,85.0,5.0,46.0,1,1,1,3,Potential Lost Customer
1190,590,65.0,16.0,964.0,2,3,4,9,Loyal Customer
1191,8732,19.0,22.0,843.0,4,4,4,12,Loyal Customer
1192,2315,45.0,6.0,91.0,3,1,2,6,Potential Loyalists Customer
1193,3515,6.0,9.0,144.0,4,2,2,8,Loyal Customer
1194,2245,50.0,8.0,126.0,3,2,2,7,Potential Loyalists Customer
1197,6606,89.0,18.0,713.0,1,3,4,8,Loyal Customer
1198,5545,28.0,14.0,611.0,3,3,3,9,Loyal Customer
1199,7342,94.0,25.0,658.0,1,4,4,9,Loyal Customer
1200,837,100.0,9.0,155.0,1,2,2,5,New Customer
1201,9500,34.0,20.0,490.0,3,4,3,10,Loyal Customer
1202,3602,58.0,10.0,173.0,2,2,2,6,Potential Loyalists Customer
1204,2995,36.0,17.0,665.0,3,3,4,10,Loyal Customer
1205,1118,13.0,20.0,454.0,4,4,3,11,Loyal Customer
1207,3068,99.0,6.0,38.0,1,1,1,3,Potential Lost Customer
1208,8955,46.0,5.0,44.0,3,1,1,5,New Customer
1209,945,47.0,8.0,121.0,3,2,2,7,Potential Loyalists Customer
1210,5644,4.0,14.0,282.0,4,3,2,9,Loyal Customer
1211,7192,42.0,17.0,388.0,3,3,3,9,Loyal Customer
1212,2324,88.0,30.0,653.0,1,4,4,9,Loyal Customer
1213,697,22.0,21.0,1011.0,4,4,4,12,Loyal Customer
1214,3439,36.0,11.0,239.0,3,2,2,7,Potential Loyalists Customer
1215,1506,74.0,8.0,127.0,2,2,2,6,Potential Loyalists Customer
1216,232,92.0,17.0,382.0,1,3,3,7,Potential Loyalists Customer
1217,8876,51.0,9.0,137.0,3,2,2,7,Potential Loyalists Customer
1219,9739,45.0,7.0,104.0,3,1,2,6,Potential Loyalists Customer
1220,10395,75.0,8.0,96.0,2,2,2,6,Potential Loyalists Customer
1221,1176,50.0,4.0,20.0,3,1,1,5,New Customer
1222,1627,16.0,22.0,505.0,4,4,3,11,Loyal Customer
1223,938,70.0,6.0,82.0,2,1,2,5,New Customer
1224,2740,19.0,8.0,85.0,4,2,2,8,Loyal Customer
1225,257,26.0,19.0,742.0,4,3,4,11,Loyal Customer
1226,4058,24.0,22.0,517.0,4,4,3,11,Loyal Customer
1227,7736,64.0,6.0,56.0,2,1,1,4,New Customer
1228,8210,36.0,14.0,306.0,3,3,3,9,Loyal Customer
1229,833,38.0,7.0,67.0,3,1,2,6,Potential Loyalists Customer
1230,6230,47.0,10.0,168.0,3,2,2,7,Potential Loyalists Customer
1231,7325,14.0,5.0,35.0,4,1,1,6,Potential Loyalists Customer
1232,1307,85.0,8.0,58.0,1,2,1,4,New Customer
1233,1502,33.0,6.0,47.0,3,1,1,5,New Customer
1234,6211,53.0,5.0,34.0,2,1,1,4,New Customer
1235,843,53.0,22.0,515.0,2,4,3,9,Loyal Customer
1236,4174,19.0,8.0,118.0,4,2,2,8,Loyal Customer
1237,9757,2.0,24.0,906.0,4,4,4,12,Loyal Customer
1239,286,52.0,9.0,137.0,2,2,2,6,Potential Loyalists Customer
1240,11086,82.0,5.0,16.0,1,1,1,3,Potential Lost Customer
1241,1921,26.0,6.0,66.0,4,1,2,7,Potential Loyalists Customer
1242,4138,32.0,23.0,560.0,3,4,3,10,Loyal Customer
1243,7718,64.0,10.0,466.0,2,2,3,7,Potential Loyalists Customer
1244,1291,10.0,13.0,274.0,4,2,2,8,Loyal Customer
1245,6862,35.0,1.0,3.0,3,1,1,5,New Customer
1246,4136,37.0,8.0,108.0,3,2,2,7,Potential Loyalists Customer
1247,803,18.0,4.0,16.0,4,1,1,6,Potential Loyalists Customer
1248,4298,37.0,4.0,5.0,3,1,1,5,New Customer
1249,10833,45.0,25.0,604.0,3,4,3,10,Loyal Customer
1250,9606,36.0,13.0,874.0,3,2,4,9,Loyal Customer
1251,8534,49.0,25.0,614.0,3,4,3,10,Loyal Customer
1252,5153,3.0,33.0,871.0,4,4,4,12,Loyal Customer
1253,961,8.0,16.0,542.0,4,3,3,10,Loyal Customer
1255,6653,28.0,15.0,317.0,3,3,3,9,Loyal Customer
1256,9094,61.0,15.0,408.0,2,3,3,8,Loyal Customer
1257,810,51.0,18.0,436.0,3,3,3,9,Loyal Customer
1258,5493,79.0,4.0,18.0,1,1,1,3,Potential Lost Customer
1259,2147,9.0,23.0,1038.0,4,4,4,12,Loyal Customer
1261,3979,2.0,17.0,955.0,4,3,4,11,Loyal Customer
1262,6049,15.0,27.0,962.0,4,4,4,12,Loyal Customer
1263,8147,60.0,6.0,43.0,2,1,1,4,New Customer
1264,1857,98.0,6.0,78.0,1,1,2,4,New Customer
1266,5207,59.0,20.0,507.0,2,4,3,9,Loyal Customer
1267,11114,6.0,7.0,79.0,4,1,2,7,Potential Loyalists Customer
1268,5429,90.0,10.0,162.0,1,2,2,5,New Customer
1269,9400,27.0,19.0,815.0,3,3,4,10,Loyal Customer
1270,1740,78.0,15.0,617.0,1,3,3,7,Potential Loyalists Customer
1271,7488,70.0,22.0,526.0,2,4,3,9,Loyal Customer
1272,195,79.0,11.0,204.0,1,2,2,5,New Customer
1273,635,49.0,18.0,420.0,3,3,3,9,Loyal Customer
1274,7527,3.0,7.0,71.0,4,1,2,7,Potential Loyalists Customer
1275,10319,44.0,19.0,774.0,3,3,4,10,Loyal Customer
1276,2296,96.0,4.0,25.0,1,1,1,3,Potential Lost Customer
1277,10637,23.0,7.0,94.0,4,1,2,7,Potential Loyalists Customer
1278,2931,5.0,23.0,732.0,4,4,4,12,Loyal Customer
1279,907,64.0,14.0,281.0,2,3,2,7,Potential Loyalists Customer
1280,3698,87.0,19.0,1028.0,1,3,4,8,Loyal Customer
1281,9516,10.0,27.0,748.0,4,4,4,12,Loyal Customer
1282,679,51.0,5.0,33.0,3,1,1,5,New Customer
1283,7384,82.0,16.0,355.0,1,3,3,7,Potential Loyalists Customer
1284,5043,11.0,12.0,327.0,4,2,3,9,Loyal Customer
1285,5267,57.0,5.0,39.0,2,1,1,4,New Customer
1286,339,18.0,17.0,364.0,4,3,3,10,Loyal Customer
1287,2516,16.0,6.0,73.0,4,1,2,7,Potential Loyalists Customer
1288,9010,20.0,23.0,1041.0,4,4,4,12,Loyal Customer
1289,378,32.0,20.0,508.0,3,4,3,10,Loyal Customer
1290,4808,88.0,4.0,12.0,1,1,1,3,Potential Lost Customer
1292,7628,90.0,7.0,71.0,1,1,2,4,New Customer
1293,7128,9.0,4.0,10.0,4,1,1,6,Potential Loyalists Customer
1294,2811,79.0,6.0,57.0,1,1,1,3,Potential Lost Customer
1295,3551,72.0,9.0,174.0,2,2,2,6,Potential Loyalists Customer
1296,1663,3.0,5.0,44.0,4,1,1,6,Potential Loyalists Customer
1297,5543,51.0,21.0,514.0,3,4,3,10,Loyal Customer
1298,1577,86.0,15.0,944.0,1,3,4,8,Loyal Customer
1299,10641,95.0,7.0,52.0,1,1,1,3,Potential Lost Customer
1300,5336,63.0,3.0,54.0,2,1,1,4,New Customer
1302,1878,17.0,6.0,32.0,4,1,1,6,Potential Loyalists Customer
1303,3099,52.0,12.0,249.0,2,2,2,6,Potential Loyalists Customer
1304,6055,6.0,19.0,781.0,4,3,4,11,Loyal Customer
1305,5841,39.0,22.0,527.0,3,4,3,10,Loyal Customer
1306,3972,30.0,14.0,304.0,3,3,3,9,Loyal Customer
1307,4394,57.0,23.0,858.0,2,4,4,10,Loyal Customer
1308,5758,77.0,28.0,729.0,1,4,4,9,Loyal Customer
1309,6658,63.0,26.0,734.0,2,4,4,10,Loyal Customer
1310,4603,50.0,20.0,441.0,3,4,3,10,Loyal Customer
1311,8427,22.0,23.0,876.0,4,4,4,12,Loyal Customer
1312,10260,26.0,13.0,250.0,4,2,2,8,Loyal Customer
1313,7143,86.0,22.0,524.0,1,4,3,8,Loyal Customer
1314,8789,23.0,12.0,225.0,4,2,2,8,Loyal Customer
1315,6197,61.0,7.0,52.0,2,1,1,4,New Customer
